"pubDate","timestamp","title","description","link","rss-url","country","category","keyphrases","key_words"
"Sun, 18 Sep 2022 13:38:00 -0400","1663522680.0","NFL Week 2 streaming guide: How to stream Sunday football games on CBS, Fox and more","Where to watch every Sunday game of the 2022 season, plus how else you can stream NFL games.","https://www.cbsnews.com/essentials/nfl-2022-how-to-stream-football-games-airing-on-cbs-this-sunday/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 13:34:01 -0400","1663522441.0","Friends describe waiting in line for 16 hours to pay respects to Queen","This group of friends waited in line for 16 hours to pay their final respects to the Queen — and they got the opportunity to meet King Charles and Prince William during the wait. Even though they hadn't slept all night, they said the process was an ""out of this world experience"" and they praised organizers for passing out blankets, tea and sweets for mourners to feel more comfortable.","https://www.cbsnews.com/video/friends-describe-waiting-in-line-for-16-hours-to-pay-respects-to-queen/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 13:32:46 -0400","1663522366.0","Gabby Petito: The Untold Story","“48 Hours” explores Gabby Petito’s final days and the missed warning signs that might have saved her. ""48 Hours"" contributor Jericka Duncan reports.","https://www.cbsnews.com/video/gabby-petito-the-untold-story/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 13:28:56 -0400","1663522136.0","Face The Nation: Kostin, Pape, Garret and Becker","Missed the second half of the show? The latest on Ukraine's top prosecutor pursuing a genocide case against Russian officials; Robert Pape warns of ""violent threat"" to U.S. democracy; and Major Garrett and David Becker's new book, ""The Big Truth"".","https://www.cbsnews.com/video/face-the-nation-kostin-pape-garret-and-becker/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 13:27:43 -0400","1663522063.0","The Shooting of Lauren Kanarek","Did social media posts drive an Olympic horseman to shoot his own student? ""48 Hours"" contributor Nikki Battiste reports.","https://www.cbsnews.com/video/the-shooting-of-lauren-kanarek/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 13:02:10 -0400","1663520530.0","Ukraine's top prosecutor says he's pursuing genocide case","Andriy Kostin, the prosecutor general of Ukraine, says investigators are working with the International Criminal Court to pursue genocide cases against Russian officials.
troops from wide swaths of land.","https://www.cbsnews.com/video/ukraines-top-prosecutor-says-hes-pursuing-genocide-case/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 12:53:35 -0400","1663520015.0","Boy meets boy: Billy Eichner's gay rom-com ""Bros""","Comedian Billy Eichner is the first openly gay man to co-write and star in a gay romantic comedy for a major movie studio. He talks with correspondent Jonathan Vigliotti about ""Bros,"" and why it's taken so long for Hollywood to produce a rom-com featuring an all-LGBTQ principal cast.","https://www.cbsnews.com/video/boy-meets-boy-billy-eichners-gay-rom-com-bros/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 12:53:00 -0400","1663519980.0","Biden pays respects to queen as world leaders arrive in London for funeral","""She was the same in person as her image — decent, honorable, all about service,"" the president said.","https://www.cbsnews.com/news/queen-elizabeth-ii-funeral-biden-london-world-leaders/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 12:52:10 -0400","1663519930.0","Queen superfan dedicates entire home to monarchy","While others traveled to Buckingham Palace to pay their final respects to the Queen, this 78-year-old grandmother didn't have to leave home. Because her home, nestled in the suburbs of London, is like a love letter with four walls.","https://www.cbsnews.com/video/queen-superfan-dedicates-entire-home-to-monarchy/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 12:50:10 -0400","1663519810.0","Britain prepares for Queen Elizabeth's funeral","Great Britain has not buried a monarch since the death of King George VI in 1952. So, royal watchers anticipate Monday's funeral for Queen Elizabeth II will be a blend of grand spectacle and personal grief not seen in generations. Correspondent Seth Doane talks with former BBC anchor Jon Sopel and professor Pauline Maclaren about what to expect from Monday's service at Westminster Abbey, which has been decades in the planning. (Watch the funeral of Queen Elizabeth II live on CBS Monday, September 19 beginning at 5:30 a.m. ET, or online at cbsnews.com, and on the CBS News mobile app. You may also stream live via Paramount+.)","https://www.cbsnews.com/video/britain-prepares-for-queen-elizabeths-funeral/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 12:48:26 -0400","1663519706.0","Expert warns of ""violent threat"" to U.S. democracy","Robert Pape, a professor at the University of Chicago and expert on political violence, says, ""We have not just a political threat to our democracy, we have a violent threat to our democracy.""","https://www.cbsnews.com/video/expert-warns-of-violent-threat-to-u-s-democracy/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 12:42:25 -0400","1663519345.0","Major Garrett and David Becker on ""The Big Truth""","CBS News chief Washington correspondent Major Garrett and CBS News election law contributor David Becker discuss their new book, ""The Big Truth: Upholding Democracy in the Age of 'The Big Lie.'""","https://www.cbsnews.com/video/major-garrett-and-david-becker-on-the-big-truth/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 12:38:48 -0400","1663519128.0","Transcript: Robert Pape on ""Face the Nation""","The following is a transcript of an interview with University of Chicago Professor Robert Pape that aired Sunday, Sept. 18, 2022, on ""Face the Nation.""","https://www.cbsnews.com/news/robert-pape-transcript-face-the-nation-09-18-2022/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
"Sun, 18 Sep 2022 12:38:13 -0400","1663519093.0","Texas Democrat urges Biden to ramp up border enforcement amid migrant dispute","Cuellar urged the Biden administration to devote more resources to to law enforcement at the southern border.","https://www.cbsnews.com/news/immigration-henry-cuellar-biden-border-enforcement-migrants-face-the-nation/","http://www.cbsnews.com/latest/rss/main","US","general","[]","set()"
