"pubDate","timestamp","title","description"
"2022-09-19 17:41:07+05:30","1663589467.0","Two-year-old boy drowns in water tank in Uthangarai",""
"2022-09-19 17:40:44+05:30","1663589444.0","Narikuravar community people in Salem seek basic amenities",""
"2022-09-19 17:40:22+05:30","1663589422.0","Coal India to sell around 90 mt coal through e-auction route","The state-owned miner has been earning close to ₹4,400-4,500/tonne on sale through e-auction route this year"
"2022-09-19 17:39:59+05:30","1663589399.0","Man drowns",""
"2022-09-19 17:39:41+05:30","1663589381.0","Tamil Nadu government is to frame rules to classify jallikattu as a sport: Minister","‘Once the plan attained full shape, it would be taken to the notice of the Chief Minister to classify jallikattu as a sport’"
"2022-09-19 12:08:12+00:00","1663589292.0","Hijab ban case: ‘Just like turbans for Sikhs, hijabs important for Muslim women,’ petitioners’ lawyer tells SC",""
"2022-09-19 08:06:47-04:00","1663589207.0","Princess Charlotte Pays Special Tribute To Queen Elizabeth At Funeral","The 7-year-old princess wore a meaningful diamond brooch to honor her great-grandmother."
"2022-09-19 17:36:27+05:30","1663589187.0","Don't believe PM behind misuse of CBI, ED: Mamata; Resolution against agencies' 'excesses' passed","The BJP opposed the resolution which was later passed by the Assembly."
"2022-09-19 17:36:14+05:30","1663589174.0","Maharashtra Congress passes resolution to appoint Rahul Gandhi as party chief","The Congress units in Rajasthan and Chhattisgarh, the only two states where the party is in government on its own, have passed resolutions that Rahul Gandhi be made the party's president. Also, the Gujarat Congress on Sunday demanded that Rahul Gandhi be made the party chief."
"2022-09-19 12:05:48+00:00","1663589148.0","Watch: Bengal Governor pushes Sunil Chettri during award ceremony of Durand cup","The video has asserted a lot of criticism to the governer after the viral video, which surfaced on the Internet, showed him ""pushing"" Sunil Chhetri."
"2022-09-19 17:35:45+05:30","1663589145.0","Transgenders assaulted by two unidentified men near Sulur",""
"2022-09-19 12:05:09+00:00","1663589109.0","Electricity blackout as Hurricane Fiona rips through Puerto Rico","The storm has caused “catastrophic” flooding in the US territory"
"2022-09-19 08:05:07-04:00","1663589107.0","Movement to defund fossil fuels is coming for private equity","As banks exit fossil fuels, massive private equity funds are picking up the slack. That's killing the planet, activists say."
"2022-09-19 17:35:02+05:30","1663589102.0","India vs Australia: 'Will try to learn from mistakes we have made in Asia Cup,' says KL Rahul",""
"2022-09-19 17:34:45+05:30","1663589085.0","Lil Scrappy not dead. Rapper busts rumours via Instagram post","There were rumors about the death of rapper Lil Scrappy. However, he took to Instagram and updated his fans that he was well and alive. He became the latest celebrity to fall prey to death hoaxes."
"2022-09-19 12:04:37+00:00","1663589077.0","Russia-Ukraine war: Russian strike at Pivdennoukrainsk nuclear power plant but reactors not damaged – live updates","Reactors not damaged after Russian strikes at nuclear power plant in southern Mykolaiv region What we know on day 208 of Russia’s invasion Russia is highly likely to have lost at least four combat jets in Ukraine within the last 10 days, taking its attrition to about 55 since the beginning of its invasion, the British military said on Monday. There is a realistic possibility that the increase in losses was partially a result of the Russian air force accepting greater risk in a move to provide close air support to Russian ground forces under pressure from Ukrainian advances, the defence ministry said in its daily intelligence on Twitter. Russia’s president, Vladimir Putin – under a travel ban to the UK due to sanctions – had already said he would not attend. But not inviting any Russian representative to the Queen’s funeral was “particularly blasphemous towards Elizabeth II’s memory” and “deeply immoral”, the foreign ministry spokeswoman in Moscow said on Thursday. Continue reading..."
"2022-09-19 12:04:27+00:00","1663589067.0","Queen’s funeral: Elizabeth II’s coffin leaves Westminster Abbey for Wellington Arch – latest updates","Gun carriage will transport coffin to Wellington Arch, where it will be transferred to state hearse for journey to Windsor Timeline of the day’s key moments Food confiscated from people waiting in the queue for the Queen’s lying in state is being donated to charity, reports PA Media: People are not allowed to take food or drink inside the Palace of Westminster and any such items will be confiscated. Charity the Felix Project said it expects to collect over 2 tonnes of food, mostly snacks including crisps, chocolate and biscuits, and is also accepting unwanted blankets. With people waiting up to 24 hours to complete the five-mile walk from Southwark Park to Westminster Hall to pay their respects to the Queen, they are coming with plenty of food to keep them going. When they get to Victoria Tower Gardens the food is confiscated before entry to the parliamentary estate is allowed and instead of being thrown away, all non-perishable and unopened packages are saved. The Felix Project will distribute the items to the thousands of community groups it works with across the capital. Charity chief executive Charlotte Hill said: “We are honoured to be here to play a small part in this hugely poignant event and to know that an extra layer of good is being done here. It’s hard to say exactly how many additional people [will travel], but we’re preparing for potentially a million people just within the footprint of the royal palaces and Hyde Park … Continue reading..."
"2022-09-19 12:03:58+00:00","1663589038.0","Prince George and Princess Charlotte take prominent role at Queen’s funeral","George, second in line to the throne, and his sister, were youngest mourners at Westminster Abbey service Funeral of Queen Elizabeth II - live updates Nine-year old Prince George and Princess Charlotte, seven, were the youngest mourners following the Queen’s coffin as they marched through a nave packed with world leaders in an expression of continuity of the British monarchy. The Queen’s great-grandson, who became second in line to the throne after her death on 8 September, wore a dark blue suit and black tie as he walked alongside his father, the Prince of Wales, King Charles III’s immediate heir, in his RAF No1 uniform. Alongside him, walked his younger sister, in a black dress and wide-brimmed hat, and her mother, the Princess of Wales. Continue reading..."
"2022-09-19 17:33:49+05:30","1663589029.0","PFI activities in Andhra Pradesh come under police scanner","The outfit had allegedly recruited youth and conducted training for them at several places in State, say officials"
"2022-09-19 17:33:44+05:30","1663589024.0","SIT to probe leak of objectionable video allegedly made by Chandigarh University student","Terming the incident unfortunate, the Punjab DGP said police had so far arrested three people, including the accused student and two others from Himachal Pradesh"
"2022-09-19 12:03:28+00:00","1663589008.0","Bug in iPhone 14 Pro Max causes camera to physically fail, users say","Owners report opening camera in apps such as TikTok and Instagram leads to grinding sounds and vibrations in entire phone A major bug in Apple’s latest iPhone is causing the camera to physically fail when using apps such as TikTok, Snapchat and Instagram, some owners have reported. The bug in the company’s iPhone 14 Pro Max, the most expensive model in the iPhone 14 range, appears to affect the optical image stabilisation (OIS) feature, which uses a motor to eliminate the effects of camera shake when taking pictures. Opening the camera in certain apps causes the OIS motor to go haywire, causing audible grinding sounds and physically vibrating the entire phone. Continue reading..."
"2022-09-19 08:02:52-04:00","1663588972.0","Watch Live: Queen Elizabeth II's state funeral at Westminster Abbey","Official mourning for the U.K.'s longest-reigning monarch culminated Monday with her state funeral​ in the ancient Westminster Abbey."
"2022-09-19 12:02:52+00:00","1663588972.0","Queen's funeral: NI political leaders at Westminster Abbey service","In Northern Ireland, schools and many services are closed as people pay respects to Queen Elizabeth II."
"2022-09-19 17:32:37+05:30","1663588957.0","Madhu lynching case: Kerala High Court upholds cancellation of bail to 11 accused","Bail for 11th accused Abdul Kareem allowed for want of material proof"
"2022-09-19 17:32:32+05:30","1663588952.0","Ramappa temple comes alive","The stunning classical dance performance by a team of young artistes left the audience spellbound at the mega cultural event titled “Ramappa Vaibhavam.”"
"2022-09-19 17:31:54+05:30","1663588914.0","NEET UG Counselling 2022 soon. Check likely date and other details","NEET aspirants should note that no specific date and time has been announced officially. Reports said the NEET UG counselling process is likely to begin from September 25."
"2022-09-19 12:01:44+00:00","1663588904.0","Queen’s funeral: Sadness and solemnity hang in grey clouds over Westminster Abbey as world says farewell to Her Majesty","Inside the abbey, the Royal Family walked in procession behind the Queen’s coffin as it was carried by a military bearer party"
"2022-09-19 12:01:09+00:00","1663588869.0","How tall was The Queen and how tall is King Charles, Prince Harry and William?","The Queen was petite compared with other members of the royal family"
